,pubmedID,ArticleTitle,AbstractText,PubYear,PubMonth
0,10030778,Intravenous azithromycin-induced ototoxicity.,"Intravenous azithromycin is increasingly administered for treatment of hospitalized patients with community-acquired pneumonia. Macrolide antibiotics cause ototoxicity, which occurs most frequently when high serum concentrations are achieved. Current dosing guidelines for intravenous azithromycin can result in much higher serum concentrations than is seen with oral administration. We describe a 47-year-old woman who developed complete deafness after receiving 8 days of intravenous azithromycin.",1999,2
3,10048291,Unaccountable severe hypercalcemia in a patient treated for hypoparathyroidism with dihydrotachysterol.,"This report describes a forty-seven-year-old female patient with a complex medical history. She was suffering from an unspecified interstitial lung disease, papillary thyroid carcinoma which had been treated, hypoparathyroidism after thyroidectomy for which she was receiving dihydrotachysterol and calcium, and atrial fibrillation and congestive heart failure as a result of mitral stenosis. Shortly after mitral valve replacement she developed a severe hypercalcemia (serum calcium 5.95 mmol/l) during a febrile illness. At that time anti-tuberculous agents were also being administered for presumed tuberculosis. The possible mechanisms for this severe elevation of the calcium level are discussed. Immobilization, while Paget's bone disease was present, and perhaps enhanced activation of dihydrotachysterol by rifampicin, could have led to increased calcium-release into the circulation. Continuous supplecation of calcium and vitamin D, provoked dehydration and the mechanism of the milk-alkali syndrome also contributed to this extremely high calcium level. It is concluded that hypoparathyroid patients being treated with vitamin D and calcium should be carefully monitored in the case of an intercurrent illness or a change in medication.",1999,1
4,10082597,Pseudoporphyria induced by propionic acid derivatives.,"Pseudoporphyria is a photosensitive bullous skin disease that is distinguished from porphyria cutanea tarda (PCT) by its normal porphyrin profile. Drugs are a major cause of this disease, and the list of culprits is continually expanding. Nonsteroidal antiinflammatory agents (NSAIDs), especially naproxen and other propionic acid derivatives, appear to be the most common offenders.
The study was carried out to increase awareness about the etiology and characteristic features of pseudoporphyria.
We report two cases of pseudoporphyria caused by naproxen and oxaprozin. We review the current English language literature on this entity and discuss its clinical features, histology, ultrastructure, etiology, and pathophysiology.
A 44-year-old man taking naproxen for chronic low back pain and a 20-year-old woman on oxaprozin for rheumatoid arthritis presented with tense bullae and cutaneous fragility on the face and the back of the hands. In both, skin biopsy showed a cell-poor subepidermal vesicle with festooning of the dermal papillae. Direct immunofluorescence revealed staining at the dermal-epidermal junction and around blood vessels with IgG in the first case and with IgG, IgA, and fibrin in the second case. Urine collections and serum samples yielded normal levels of uro- and coproporphyrins.
Most cases of pseudoporphyria are drug-induced. Naproxen, the most common offender, has been associated with a dimorphic clinical pattern: a PCT-like presentation and one simulating erythropoietic protoporphyria in the pediatric population. Other NSAIDs of the propionic acid family can also cause pseudoporphyria.",1999,1
5,10084639,Olanzapine treatment after clozapine-induced granulocytopenia in 3 patients.,"How to best treat psychotic patients who have had past clozapine-induced agranulocytosis or granulocytopenia remains a problem.
We report 3 patients with chronic schizophrenia who had previously stopped clozapine due to hematologic side effects. The patients evidenced improvement with olanzapine that equated to 16- to 31-point decreases in rating scale scores during 1-year follow-up without any hematologic abnormalities.
The results suggest that olanzapine may be useful in treating patients with clozapine-induced granulocytopenia without the risk of recurrence of hematologic side effects.",1999,2
6,10099659,Prolonged severe 5-fluorouracil-associated neurotoxicity in a patient with dihydropyrimidine dehydrogenase deficiency.,"5-Fluorouracil (5-FU) is an analogue of pyrimidine nucleosides that is widely used in the treatment of head and neck, breast, ovarian, and colon cancer. Stomatitis, diarrhea, dermatitis, and myelosuppression are the main toxicities of 5-FU. A less frequent side effect that is becoming more recognized is neurologic toxicity. Dihydropyrimidine dehydrogenase (DPD) is the rate-limiting enzyme in the catabolism of 5-FU. DPD deficiency follows an autosomal recessive pattern of inheritance, and its prevalence is estimated to be 3%. Cancer patients who are receiving 5-FU treatment and are DPD deficient can develop severe side effects. The neurologic toxicity can vary from being mild to severe and prolonged. We describe the side effects of 5-FU in a colon cancer patient who suffered severe mucositis, desquamating dermatitis, prolonged myelosuppression, and neurologic toxicity that required admission to the intensive care unit. The patient remained hospitalized for 3 months. Recovery from the side effects was complete 4 months after the last 5-FU treatment. Subsequent testing revealed that this patient has an extremely low level of DPD activity (0.015 nmol/min/mg protein; mean, 0.189 nmol/min/mg protein). Because neurologic toxicity is becoming more recognized and DPD affects the catabolism of 5-FU, we discuss management issues and the use of new DPD inhibitors. We also discuss whether screening for DPD deficiency is warranted to identify patients at risk for severe toxicities from 5-FU treatment.",1999,0
7,10102531,Behenoyl cytarabine-associated reversible encephalopathy in a patient with acute myelogenous leukemia.,"We report a case of reversible encephalopathy syndrome in a 16-year-old girl with acute myelogenous leukemia (AML), who is undergoing during consolidation chemotherapy composed of BH-AC (N4-behenoyl-1-beta-D-arabinofuranosyl cytosine) and idarubicin. On the 6th day of chemotherapy, she was in a drowsy state following generalized tonic clonic seizure lasting 20 minutes. MR images revealed extensive cortical and subcortical white matter brain edema. Alertness returned over the 24 hr following by the discontinuation of BH-AC and intravenous administration of diphenylhydantoin, although she complained of intermittent headaches and visual disturbance. She gradually recovered from these symptoms during subsequent 7 days. Previously noted abnormal signal intensities have nearly disappreared on follow-up MRI obtained on the 22nd day after the first seizure. She was discharged without any neurologic sequela. This case suggests that BH-AC, a derivative of cytosine arabinoside (1-beta-D-arabinofuranosylcytosine) could be a cause of reversible encephalopathy syndrome.",1999,2
8,10190739,Acute hepatitis after riluzole administration.,"Riluzole is a new drug representing the first active treatment for amyotrophic lateral sclerosis. We report the cases of two patients who developed acute hepatitis after taking riluzole at the recommended dose (100 mg daily) for 7 and 4 weeks, respectively. In both cases, liver histology showed hepatocellular damage with inflammatory infiltration and microvesicular steatosis without fibrosis. Liver enzymes returned to normal 4 and 8 weeks, respectively, after riluzole withdrawal. In one case, the readministration of riluzole was followed by the relapse of hepatitis. These two observations strongly suggest that riluzole can induce acute hepatitis with associated hepatocellular damage and microvesicular steatosis. They also suggest that liver enzymes should be monitored during treatment with riluzole.",1999,3
9,10203437,Lupus-like syndrome caused by 5-aminosalicylic acid in patients with inflammatory bowel disease.,"Although 5-aminosalicylic acid (5-ASA) preparations used to treat inflammatory bowel disease are reported to have fewer side effects than sulphasalazine, increased clinical use of these compounds has resulted in increased reports of significant side effects.
To report four patients with antinuclear antibody-positive migratory arthralgias and acute inflammation unrelated to the underlying inflammatory bowel disease, fulfilling the criteria of a drug-induced lupus-like syndrome.
A university-affiliated teaching hospital.
Cessation of treatment with 5-ASA compounds.
The cases described constitute a drug-induced lupus-like syndrome. All patients improved rapidly after discontinuation of 5-ASA compounds.
Reversible lupus-like syndrome appears to be a rare but significant side effect of 5-ASA compounds. Patients treated with 5-ASA compounds who experience acute inflammatory symptoms or clinical deterioration not related to their gastrointestinal disease should be screened to rule out a lupus-like reaction.",1999,3
10,10225085,Methemoglobinemia after axillary block with bupivacaine and additional injection of lidocaine in the operative field.,"Methemoglobinemia may occur after the administration of various drugs, including some local anesthetics. We report a patient with chronic renal failure and ischemic heart disease who developed clinically significant methemoglobinemia after an axillary block with bupivacaine and additional injection of lidocaine in the operative field. Although the two local anesthetics usually do not cause methemoglobinemia, we suspect that the displacement of lidocaine from protein binding by bupivacaine, in combination with metabolic acidosis and treatment with other oxidants, was the reason for the development of methemoglobinemia.",1999,4
11,10229976,Detection of activated eosinophils in nasal polyps of an aspirin-induced asthma patient.,"Aspirin-induced asthma (AIA) is frequently accompanied by nasal polyps. Eosinophil infiltration is a characteristic feature of nasal polyps associated with AIA. Even though steroids are well known to be effective on managing AIA and its nasal polyps, histochemical examinations after steroid therapy and at recurrence, involving eosinophil infiltration of nasal polyps, have been less studied. To know the histochemical effects of steroid treatment on eosinophil accumulation in nasal polyps of AIA and the histochemical feature of a recurring polyp and to detect distributional differences between storage and secreted forms of eosinophil cationic proteins, we carried out immunocytochemical labelling with antibodies against EGI (recognizing resting and activated eosinophils) and EG2 (recognizing only activated eosinophils), and determined eosinophil infiltration in nasal polyps that were obtained before and after steroid treatment, and at recurrence of polyps. A large number of eosinophils in AIA polyps were found before steroid treatment and at recurrence, and they were predominantly composed of activated eosinophils (EG2-positive). In contrast, eosinophil infiltration was rare in polyps obtained immediately after steroid treatment. This finding suggests that eosinophil infiltration may be associated with nasal polyp formation in AIA, and that activation of eosinophils plays an important role in accumulation of eosinophils and polyp formation beginning with the initial stage.",1999,3
12,10327035,Subacute encephalopathy after combination chemotherapy including moderate-dose methotrexate in a patient with gastric cancer.,"An episode of subacute encephalopathy after the infusion of a moderate dose of methotrexate (1500 mg/m2) (MTX) is reported in a young adult with metastastic gastric cancer. Weakness of the right arm, focal seizures, lethargy and confusion appeared on day 10. High signal intensity in periventricular white matter was observed on T2-weighted magnetic resonance imaging. Symptoms resolved spontaneously and completely after 48 h. We believe that this represents an unusual case of moderate-dose MTX-induced neurotoxicity in a patient with gastric cancer, which has not previously been reported.",1999,3
