,Type,UI,PubmedID,NameOfSubstance,RegistryNumber,MeshHeadingID,DescriptorName,MajorTopicYN,QualifierName
0,Chemical,D000900,10030778,Anti-Bacterial Agents,0,,,,
1,Chemical,D017963,10030778,Azithromycin,83905-01-5,,,,
2,DescriptorName,D000900,10030778,,,1,Anti-Bacterial Agents,N,
3,QualifierName,Q000008,10030778,,,1,,N,administration & dosage
4,DescriptorName,D017963,10030778,,,2,Azithromycin,N,
5,QualifierName,Q000008,10030778,,,2,,N,administration & dosage
6,DescriptorName,D003638,10030778,,,3,Deafness,N,
7,QualifierName,Q000139,10030778,,,3,,Y,chemically induced
8,DescriptorName,D005260,10030778,,,4,Female,N,
9,DescriptorName,D006801,10030778,,,5,Humans,N,
10,DescriptorName,D007275,10030778,,,6,"Injections, Intravenous",N,
11,DescriptorName,D008875,10030778,,,7,Middle Aged,N,
12,DescriptorName,D011024,10030778,,,8,"Pneumonia, Viral",N,
13,QualifierName,Q000150,10030778,,,8,,N,complications
14,Chemical,D000900,10030778,Anti-Bacterial Agents,0,,,,
15,Chemical,D017963,10030778,Azithromycin,83905-01-5,,,,
16,DescriptorName,D000900,10030778,,,1,Anti-Bacterial Agents,N,
17,QualifierName,Q000008,10030778,,,1,,N,administration & dosage
18,DescriptorName,D017963,10030778,,,2,Azithromycin,N,
19,QualifierName,Q000008,10030778,,,2,,N,administration & dosage
20,DescriptorName,D003638,10030778,,,3,Deafness,N,
21,QualifierName,Q000139,10030778,,,3,,Y,chemically induced
22,DescriptorName,D005260,10030778,,,4,Female,N,
23,DescriptorName,D006801,10030778,,,5,Humans,N,
24,DescriptorName,D007275,10030778,,,6,"Injections, Intravenous",N,
25,DescriptorName,D008875,10030778,,,7,Middle Aged,N,
26,DescriptorName,D011024,10030778,,,8,"Pneumonia, Viral",N,
27,QualifierName,Q000150,10030778,,,8,,N,complications
28,Chemical,D000900,10030778,Anti-Bacterial Agents,0,,,,
29,Chemical,D017963,10030778,Azithromycin,83905-01-5,,,,
30,DescriptorName,D000900,10030778,,,1,Anti-Bacterial Agents,N,
31,QualifierName,Q000008,10030778,,,1,,N,administration & dosage
32,DescriptorName,D017963,10030778,,,2,Azithromycin,N,
33,QualifierName,Q000008,10030778,,,2,,N,administration & dosage
34,DescriptorName,D003638,10030778,,,3,Deafness,N,
35,QualifierName,Q000139,10030778,,,3,,Y,chemically induced
36,DescriptorName,D005260,10030778,,,4,Female,N,
37,DescriptorName,D006801,10030778,,,5,Humans,N,
38,DescriptorName,D007275,10030778,,,6,"Injections, Intravenous",N,
39,DescriptorName,D008875,10030778,,,7,Middle Aged,N,
40,DescriptorName,D011024,10030778,,,8,"Pneumonia, Viral",N,
41,QualifierName,Q000150,10030778,,,8,,N,complications
42,Chemical,D004097,10048291,Dihydrotachysterol,R5LM3H112R,,,,
43,Chemical,D002118,10048291,Calcium,SY7Q814VUP,,,,
44,DescriptorName,D002118,10048291,,,1,Calcium,N,
45,QualifierName,Q000009,10048291,,,1,,Y,adverse effects
